Statistik;Gebiet;Schulart;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Hessen;Gymnasien;2024;Euro;11000;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gymnasien;2024;Euro;12100;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gymnasien;2024;Euro;11200;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gymnasien;2024;Euro;10100;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gymnasien;2024;Euro;10200;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Gymnasien;2024;Euro;11000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gymnasien;2024;Euro;11400;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gymnasien;2024;Euro;10500;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gymnasien;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gymnasien;2024;Euro;12200;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gymnasien;2024;Euro;11700;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Integrierte Gesamtschulen;2024;Euro;11200;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Integrierte Gesamtschulen;2024;Euro;-;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Integrierte Gesamtschulen;2024;Euro;16800;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Integrierte Gesamtschulen;2024;Euro;13600;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Integrierte Gesamtschulen;2024;Euro;13700;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Integrierte Gesamtschulen;2024;Euro;15400;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Integrierte Gesamtschulen;2024;Euro;12200;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Integrierte Gesamtschulen;2024;Euro;-;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Integrierte Gesamtschulen;2024;Euro;12600;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Integrierte Gesamtschulen;2024;Euro;11800;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Integrierte Gesamtschulen;2024;Euro;11000;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Integrierte Gesamtschulen;2024;Euro;11500;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Integrierte Gesamtschulen;2024;Euro;-;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Integrierte Gesamtschulen;2024;Euro;10100;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Integrierte Gesamtschulen;2024;Euro;12100;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Integrierte Gesamtschulen;2024;Euro;11700;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Integrierte Gesamtschulen;2024;Euro;12500;p
