Statistik;Gebiet;Ausgabeart_1;Ausgabeart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Bremen;Gesamtausgaben;darunter: Länder;2024;Euro;10900;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gesamtausgaben;darunter: Länder;2024;Euro;13200;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Gesamtausgaben;darunter: Länder;2024;Euro;7700;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gesamtausgaben;darunter: Länder;2024;Euro;6800;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gesamtausgaben;darunter: Länder;2024;Euro;7500;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gesamtausgaben;darunter: Länder;2024;Euro;7200;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gesamtausgaben;darunter: Länder;2024;Euro;7300;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Gesamtausgaben;darunter: Länder;2024;Euro;7600;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gesamtausgaben;darunter: Länder;2024;Euro;7200;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gesamtausgaben;darunter: Länder;2024;Euro;6900;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gesamtausgaben;darunter: Länder;2024;Euro;7100;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gesamtausgaben;darunter: Länder;2024;Euro;8200;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gesamtausgaben;darunter: Länder;2024;Euro;7700;p
