abgangsjahr;bundesland;abschluss;geschlecht;anzahl
2023;Schleswig-Holstein;allgemeine Hochschulreife;männlich;4207
2023;Schleswig-Holstein;allgemeine Hochschulreife;weiblich;4986
2023;Thüringen;ohne Hauptschulabschluss;Insgesamt;1856
2023;Thüringen;ohne Hauptschulabschluss;männlich;1150
2023;Thüringen;ohne Hauptschulabschluss;weiblich;706
2023;Thüringen;Hauptschulabschluss;Insgesamt;2740
2023;Thüringen;Hauptschulabschluss;männlich;1609
2023;Thüringen;Hauptschulabschluss;weiblich;1131
2023;Thüringen;Mittlerer Abschluss;Insgesamt;8656
2023;Thüringen;Mittlerer Abschluss;männlich;4455
2023;Thüringen;Mittlerer Abschluss;weiblich;4201
2023;Thüringen;allgemeine Hochschulreife;Insgesamt;5303
2023;Thüringen;allgemeine Hochschulreife;männlich;2321
2023;Thüringen;allgemeine Hochschulreife;weiblich;2982
2023;Deutschland;ohne Hauptschulabschluss;Insgesamt;55708
2023;Deutschland;ohne Hauptschulabschluss;männlich;33665
2023;Deutschland;ohne Hauptschulabschluss;weiblich;22043
2023;Deutschland;Hauptschulabschluss;Insgesamt;130322
2023;Deutschland;Hauptschulabschluss;männlich;76717
2023;Deutschland;Hauptschulabschluss;weiblich;53605
2023;Deutschland;Mittlerer Abschluss;Insgesamt;336361
2023;Deutschland;Mittlerer Abschluss;männlich;172566
2023;Deutschland;Mittlerer Abschluss;weiblich;163795
2023;Deutschland;Fachhochschulreife;Insgesamt;802
2023;Deutschland;Fachhochschulreife;männlich;405
2023;Deutschland;Fachhochschulreife;weiblich;397
2023;Deutschland;allgemeine Hochschulreife;Insgesamt;259230
